GRIDCODE,CVIDE,Fb,Area VEGxCELDA,AREA ENTIDADxMUN
199644,16027,0.046236063,2134943.59,46174857.13
199644,16036,0.00500303,38633.34,7721988.956
199644,16054,0.044119546,2441102.69,55329279.06
199644,16054,0.032832372,1816591.47,55329279.06
199645,16027,0.078103182,3606403.29,46174857.13
199645,16027,0.003624338,167353.28,46174857.13
199645,16036,0.504604347,3896549.19,7721988.956
199645,16036,0.121231869,936151.16,7721988.956
199645,16054,0.007112746,393543.08,55329279.06
199646,16027,0.008975728,414452.94,46174857.13
199646,16036,0.250175725,1931854.19,7721988.956
199667,16110,5.88621E-05,11947.99,202982792.6
199667,11002,0.061558347,4251883.24,69070783.02
199667,11002,0.022873334,1579879.10,69070783.02
199668,16110,5.80439E-06,1178.19,202982792.6
199668,16110,0.011293298,2292345.26,202982792.6
199668,11002,0.031161156,2152325.46,69070783.02
199668,11002,0.065934551,4554151.09,69070783.02
199669,16110,0.001064756,216127.17,202982792.6
199669,16110,0.075941927,3430118.31,45167648.77
199669,16110,0.008389275,1702878.56,202982792.6
199669,11002,0.012239933,845421.72,69070783.02
199669,11002,0.08107943,2805454.24,34601307.04
199670,16110,0.098543803,4450991.88,45167648.77
199670,16050,0.005330761,573411.48,107566540.1
199670,11002,0.114897297,3975596.64,34601307.04
199671,16110,0.011409556,515342.82,45167648.77
199671,16050,0.065681198,7065099.21,107566540.1
199671,11038,0.080306704,1419557.97,17676705.73
199672,16050,0.03024803,3253675.88,107566540.1
199672,16050,0.025850866,2780688.23,107566540.1
199672,11038,0.14479926,2559573.91,17676705.73
199672,11038,0.022971587,406061.98,17676705.73
199673,16050,0.038790051,4172511.55,107566540.1
199673,11038,0.120652816,2132744.33,17676705.73
199674,16050,0.007748544,833484.08,107566540.1
199674,11038,0.133687298,2363151.03,17676705.73
199677,16050,0.035071406,3772509.77,107566540.1
199678,16050,0.028273278,3770423.40,133356431.1
199678,16050,0.03259342,3505961.46,107566540.1
199679,16050,0.067392581,8987234.09,133356431.1
199679,16050,0.000118679,12765.91,107566540.1
199680,16050,0.067488309,9000000.00,133356431.1
199681,16050,0.066445365,8860916.68,133356431.1
199682,16050,0.021038197,2805578.88,133356431.1
199682,16017,0.024247558,1814831.24,74845937.89
199683,16017,0.061745848,4621425.88,74845937.89
199684,16017,0.013179368,986422.15,74845937.89
199686,16017,0.008299895,621213.41,74845937.89
199687,15085,0.014777494,1150962.55,77886177.79
199687,16017,0.032033871,2397605.09,74845937.89
199688,15085,0.005400792,420647.03,77886177.79
199692,15085,0.040523869,3156249.30,77886177.79
199693,15085,0.02518006,1961178.62,77886177.79
199693,15001,0.019322219,2739576.06,141783715.8
199694,15001,0.000938864,133115.69,141783715.8
199695,15001,0.008999418,107263.54,11918941.84
199696,15001,0.267647411,3190073.92,11918941.84
199697,15001,0.015267879,2164736.66,141783715.8
199698,15001,0.042768087,6063818.34,141783715.8
199699,15001,0.005477858,776671.10,141783715.8
199703,15102,0.0188232,332956.18,17688606.88
199703,15045,0.019956077,1225490.11,61409369.41
200678,16094,0.004205021,180505.95,42926292.69
200681,16094,0.075110458,3224213.49,42926292.69
200682,16070,0.012062163,425830.10,35302965.17
200682,16094,0.103701739,4451531.19,42926292.69
200683,16067,0.000156465,3694.68,23613427.03
200683,16067,0.055475761,2025345.39,36508654.5
200683,16070,0.003666977,129455.18,35302965.17
200683,16094,0.053943464,2315592.94,42926292.69
200684,16067,0.30649325,7237356.00,23613427.03
200684,16067,0.016870334,615913.18,36508654.5
200685,16063,0.035668034,2359555.61,66153229.68
200685,16067,0.174988976,4132089.41,23613427.03
200688,16063,0.00073419,48569.04,66153229.68
200689,16063,0.010919032,722329.26,66153229.68
200690,16063,0.000289886,19176.86,66153229.68
200691,16063,0.003494304,231159.48,66153229.68
200692,16063,4.39105E-05,2904.82,66153229.68
200694,16071,0.024331413,1664057.17,68391309.36
200695,16071,0.093246329,6377238.53,68391309.36
200696,16044,1,22683.70,22683.6994
200696,16054,0.002576182,16916.63,6566551.646
200696,16071,0.082523215,5643870.70,68391309.36
200697,16054,0.010272596,67455.53,6566551.646
200697,16054,0.008037767,444723.85,55329279.06
200697,16071,0.019251928,1316664.56,68391309.36
200697,16071,0.005139254,459603.27,89429953.78
