GRIDCODE,CVIDE,Fa,Area VEGxCELDA,AREA ENTIDADxMUN
198573,16044,0.012112236,992655.55,81954771.64
198574,16044,0.008116088,665152.16,81954771.64
198574,16044,0.093331769,5179477.07,55495327.48
198575,16044,0.003299302,270393.58,81954771.64
198575,16044,0.092381964,5126767.35,55495327.48
198576,16044,0.078412068,4351503.39,55495327.48
198577,16037,0.00269366,307885.24,114299947.5
198577,16037,0.182191235,528020.76,2898167.759
198577,16044,0.003590165,294231.19,81954771.64
198577,16044,0.141811269,7869862.81,55495327.48
198578,16037,0.005355143,612092.61,114299947.5
198578,16037,0.798495881,2314175.02,2898167.759
198578,16037,0.024810267,2835812.23,114299947.5
198578,16044,0.057677019,3200805.04,55495327.48
198579,16037,0.019312884,55971.98,2898167.759
198579,16037,0.000795434,90918.06,114299947.5
198579,16044,0.007250049,402343.86,55495327.48
198579,16054,0.003336307,259427.33,77758829.78
198580,16037,0.015458658,1766923.85,114299947.5
198580,16054,0.007473294,581114.59,77758829.78
198581,16037,0.016284827,1861354.93,114299947.5
198583,16037,1.56616E-06,179.01,114299947.5
198585,16027,0.036843661,1928883.10,52353186.98
198586,16027,0.014221862,744559.79,52353186.98
198586,16027,0.096444912,5049198.52,52353186.98
198587,16027,0.027071286,1417268.10,52353186.98
198587,16027,0.057593154,3015185.16,52353186.98
198588,16027,0.000208511,10916.19,52353186.98
198593,16018,0.004765656,85520.92,17945255.08
198593,16020,0.001228398,131073.39,106702720.5
198596,16020,0.036612039,3906604.20,106702720.5
198597,16003,0.032366224,4849104.48,149819899.2
198597,16020,0.038901497,4150895.52,106702720.5
198598,16003,0.060072127,9000000.00,149819899.2
198599,16003,0.029186595,4372732.67,149819899.2
198599,11002,0.003333388,1791188.82,537347805.4
198600,11002,2.90186E-05,15593.08,537347805.4
198602,16110,0.000119771,23979.46,200210552.9
198602,11002,0.000485268,260757.73,537347805.4
198603,16110,0.000338565,67784.24,200210552.9
198603,16110,0.005648456,1130880.50,200210552.9
198603,11002,2.48846E-05,13371.67,537347805.4
198603,11002,0.002907585,1562384.40,537347805.4
198603,11002,2.88786E-05,15517.87,537347805.4
198604,16110,0.016126989,1129400.42,70031697.49
198604,16110,0.015909213,3185192.30,200210552.9
198604,16110,0.019067452,3817505.09,200210552.9
198604,11002,0.001590611,854711.20,537347805.4
198604,11002,2.45483E-05,13191.00,537347805.4
198605,16110,0.086648436,6068137.08,70031697.49
198605,16110,0.013044262,2611598.95,200210552.9
198605,11002,0.004446915,320263.98,72019359.14
198606,16110,0.007096483,496978.74,70031697.49
198606,11002,0.110072593,7927357.61,72019359.14
198607,16110,0.007023691,491881.02,70031697.49
198607,11002,0.072238871,5202597.16,72019359.14
198608,16110,0.012408303,868974.54,70031697.49
198608,11002,0.010787639,776918.87,72019359.14
198609,16110,0.014009356,2804820.92,200210552.9
198610,16110,0.011562437,2314921.99,200210552.9
198611,16110,0.011038504,2210025.07,200210552.9
198612,16110,0.000166071,33249.16,200210552.9
198615,16050,0.020287455,2873131.16,141621072.5
198616,16050,0.0634947,8992187.47,141621072.5
198616,16050,2.578E-05,7812.53,303046664.4
198617,16050,0.022010525,3117154.12,141621072.5
198617,16050,0.019412343,5882845.88,303046664.4
198618,16050,0.020556894,6229698.10,303046664.4
198619,16050,0.009763332,2958745.11,303046664.4
198620,16050,0.006946209,2105025.54,303046664.4
198621,16050,0.000412694,125065.45,303046664.4
198622,16050,0.007664822,2322798.69,303046664.4
198622,16050,0.001954154,592199.94,303046664.4
198622,16017,0.010425875,2656735.80,254821380.9
198623,16050,3.35191E-06,1015.79,303046664.4
198623,16017,0.035314871,8998984.21,254821380.9
198624,16017,0.035318857,9000000.00,254821380.9
198625,16017,0.035318857,9000000.00,254821380.9
198626,16017,0.035318857,9000000.00,254821380.9
198627,16017,0.035318857,9000000.00,254821380.9
198628,15085,0.00886558,2023937.10,228291559.5
198628,16017,0.027376286,6976062.90,254821380.9
198629,15085,0.039108905,8928232.90,228291559.5
198629,16017,0.000281637,71767.10,254821380.9
198630,15085,0.023628647,5394220.70,228291559.5
198631,15085,0.02311277,5276450.25,228291559.5
198631,15085,0.000285821,65250.55,228291559.5
198632,15085,0.030699969,7008543.83,228291559.5
198633,15085,0.009402638,2146542.97,228291559.5
198633,15085,0.003609688,824061.41,228291559.5
198634,15085,0.000190669,43528.06,228291559.5
198634,15085,0.008126837,1855288.22,228291559.5
198634,15001,1.40201E-05,2848.48,203171976.3
198635,15085,0.002583495,589790.14,228291559.5
198635,15085,0.015692176,3582391.27,228291559.5
198635,15001,0.001354775,275252.35,203171976.3
198635,15001,0.001606023,326298.94,203171976.3
198636,15085,0.01292854,2951476.48,228291559.5
198636,15001,0.026869555,5459140.50,203171976.3
198637,15001,3.73238E-05,7583.15,203171976.3
198637,15001,0.015710333,3191899.40,203171976.3
198638,15001,0.005441854,1105632.18,203171976.3
198638,15001,0.01853608,3766011.92,203171976.3
198638,15001,0.141276537,4127512.22,29215836.61
198639,15001,0.071770238,2096827.55,29215836.61
198639,15001,0.01927134,3915396.26,203171976.3
198640,15001,0.004712475,957442.94,203171976.3
198640,15001,0.037944102,7709178.13,203171976.3
198641,15102,0.003569874,268513.46,75216502.97
198641,15102,0.012781311,961365.52,75216502.97
198641,15001,0.002090073,424644.30,203171976.3
198641,15001,0.01191214,2420212.98,203171976.3
198642,15102,0.034918606,2626455.42,75216502.97
198642,15045,0.009513821,1485468.33,156137930.4
198643,15102,0.098823739,7433176.08,75216502.97
198643,15045,0.009975481,1557550.92,156137930.4
198644,15102,0.022480331,1690891.85,75216502.97
198644,15045,0.004823774,753174.08,156137930.4
199619,16094,0.013108652,915847.55,69865884.34
199620,16094,0.008479301,592413.86,69865884.34
199621,16094,7.87621E-05,5502.79,69865884.34
199624,16070,0.012682396,977785.38,77097841.81
199625,16070,0.006332851,488249.11,77097841.81
199625,16107,0.007193879,1316381.22,182986290.3
199626,16063,0.003744312,317024.59,84668315.25
199626,16044,0.000237025,19425.35,81954771.64
199626,16063,0.08803262,3454330.93,39239215.32
199627,16063,0.045268313,3832791.83,84668315.25
199627,16044,0.01169356,958343.07,81954771.64
199627,16063,0.070764811,2776755.66,39239215.32
199628,16063,0.050067249,4239109.63,84668315.25
199629,16063,0.013437204,1137705.45,84668315.25
199630,16063,0.023363682,916772.55,39239215.32
199631,16044,0.001065699,87339.14,81954771.64
199631,16063,0.114538965,4494419.11,39239215.32
199632,16063,0.002105022,82599.40,39239215.32
199633,16044,0.008337278,462679.98,55495327.48
199633,16063,0.008040704,680792.89,84668315.25
199634,16044,0.121108285,6720943.93,55495327.48
199634,16063,0.024520697,2076126.08,84668315.25
199635,16044,0.100290285,5565642.21,55495327.48
199635,16071,0.111683302,3434357.79,30750861.99
199636,16044,0.051055533,2833343.51,55495327.48
199636,16071,0.200536053,6166656.49,30750861.99
199637,16044,0.151889095,8429135.09,55495327.48
199637,16054,0.006049073,470368.80,77758829.78
199637,16071,0.003268075,100496.11,30750861.99
199638,16044,0.016840198,934552.32,55495327.48
199638,16054,0.103723882,8065447.68,77758829.78
199639,16054,0.110963368,8628381.64,77758829.78
199640,16054,0.084259342,6551907.80,77758829.78
199641,16054,0.070855377,5509631.22,77758829.78
199642,16054,0.009322059,724872.37,77758829.78
199646,16027,0.05653394,2959731.94,52353186.98
199646,16036,0.005395599,158165.68,29313831.54
199646,16036,0.043091343,1263172.37,29313831.54
199647,16027,0.00012926,6767.18,52353186.98
199647,16027,0.021992218,1151362.68,52353186.98
199647,16018,0.0128783,231104.38,17945255.08
199647,16036,0.056276806,1649688.80,29313831.54
199647,16036,0.002318826,67973.67,29313831.54
199648,16018,0.001894012,33988.53,17945255.08
199648,16018,0.001449968,26020.05,17945255.08
199648,16036,0.013262582,388777.08,29313831.54
199648,16036,0.003902844,114407.30,29313831.54
199649,16018,0.002088562,37479.78,17945255.08
199649,16036,0.125918508,3691153.94,29313831.54
199650,16018,0.004065361,72953.94,17945255.08
199650,16036,0.038049102,1115364.97,29313831.54
199650,16020,0.029229518,3118869.08,106702720.5
199651,16018,0.004276214,76737.75,17945255.08
199651,16020,0.031151061,3323902.95,106702720.5
199652,16018,0.001495316,26833.83,17945255.08
199652,16020,0.036515446,3896297.40,106702720.5
199653,16020,0.064227113,6853207.68,106702720.5
199654,16020,0.052596547,5612194.61,106702720.5
199655,16020,0.010452682,1115329.56,106702720.5
199655,16020,0.000348452,37180.80,106702720.5
199656,16003,0.010923918,1636620.33,149819899.2
199656,16020,0.016937124,1807237.18,106702720.5
199657,16003,0.00022369,33513.21,149819899.2
199657,16003,0.003851959,577100.04,149819899.2
199657,16078,0.000517211,45431.22,87838853.33
199657,11002,0.006581709,3536666.78,537347805.4
199658,16003,0.000158574,23757.49,149819899.2
199658,16003,0.000136112,20392.25,149819899.2
199658,11002,0.007337967,3943040.66,537347805.4
199659,16110,9.69921E-05,19418.84,200210552.9
199659,11002,0.008251856,4434116.52,537347805.4
199660,16110,2.45376E-07,49.13,200210552.9
199660,11002,0.007716551,4146471.52,537347805.4
199660,11002,0.000552294,296773.94,537347805.4
199661,16110,0.000152764,30585.04,200210552.9
199661,11002,0.000144703,77756.04,537347805.4
199661,11002,0.013311735,7153031.67,537347805.4
199661,11002,0.001591159,855005.96,537347805.4
199662,16110,7.7003E-05,15416.81,200210552.9
199662,11002,0.000726924,390611.20,537347805.4
199662,11002,0.01549351,8325403.81,537347805.4
199663,16110,0.043081976,3017103.91,70031697.49
199663,16110,0.014351257,2873273.06,200210552.9
